#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
3.2513981012e+01	4.7796845335e+02	1.6255935669e+33
3.2482297148e+01	4.6316434405e+02	1.5752440832e+33
3.2449621962e+01	4.7458613986e+02	1.6140901570e+33
3.2417012448e+01	4.8735925865e+02	1.6575321448e+33
3.2384468409e+01	4.7302798373e+02	1.6087907935e+33
3.2351989647e+01	4.7312122347e+02	1.6091079063e+33
3.2319575967e+01	4.7998903982e+02	1.6324656781e+33
3.2288269672e+01	4.7256708463e+02	1.6072232536e+33
3.2255983485e+01	4.8956681691e+02	1.6650401560e+33
3.2223761802e+01	4.9659558349e+02	1.6889453273e+33
3.2191604430e+01	5.1367043523e+02	1.7470177146e+33
3.2158476975e+01	5.0538972259e+02	1.7188546149e+33
3.2126449706e+01	5.1018812898e+02	1.7351742245e+33
3.2094486167e+01	4.9373772589e+02	1.6792256169e+33
3.2062586168e+01	4.9208233060e+02	1.6735955383e+33
3.2030749520e+01	5.0598457621e+02	1.7208777405e+33
3.1998976033e+01	4.9960708579e+02	1.6991875906e+33
3.1966243647e+01	4.9731549362e+02	1.6913937761e+33
3.1934597943e+01	5.1686559744e+02	1.7578846141e+33
3.1903014835e+01	5.1147019129e+02	1.7395345797e+33
3.1870478376e+01	5.4867680876e+02	1.8660760650e+33
3.1839021905e+01	5.1428969167e+02	1.7491238353e+33
3.1807627469e+01	5.2091653517e+02	1.7716620470e+33
3.1775285183e+01	5.1299522186e+02	1.7447212816e+33
3.1744016253e+01	5.2374915488e+02	1.7812959221e+33
